sp,HWI,migratory,area
Agelaioides_badius,32.81864174,No-migrant,344.2763261
Agelaius_assimilis,36.80184531,No-migrant,0.357111998
Agelaius_humeralis,39.59651739,No-migrant,9.645047601
Agelaius_phoeniceus,39.48126085,Migrant,1627.053885
Agelaius_tricolor,45.41824939,No-migrant,11.46527076
Agelaius_xanthomus,33.50391868,No-migrant,0.745426198
Agelasticus_thilius,32.41841238,Migrant,271.7000232
Aimophila_rufescens,27.26009273,No-migrant,53.34525677
Aimophila_ruficeps,24.73223343,No-migrant,110.4010814
Amblycercus_holosericeus,25.34657252,No-migrant,96.41012479
Amblyramphus_holosericeus,29.90237184,No-migrant,144.0188526
Ammodramus_aurifrons,25.57024814,No-migrant,316.1972523
Ammodramus_humeralis,28.25520968,No-migrant,787.9669552
Ammodramus_savannarum,38.29202467,Migrant,798.5695369
Ammospiza_caudacuta,31.63125035,Migrant,15.50847265
Ammospiza_leconteii,30.44349792,Migrant,526.2652941
Ammospiza_maritima,24.98306184,Migrant,20.32624914
Ammospiza_nelsoni,34.0302396,Migrant,338.6746379
Amphispiza_bilineata,32.12338529,No-migrant,236.1320872
Anisognathus_igniventris,29.93778725,No-migrant,8.102936962
Anisognathus_lacrymosus,30.60602619,No-migrant,14.23587825
Anisognathus_melanogenys,30.37067676,No-migrant,0.653616291
Anisognathus_somptuosus,34.22264793,No-migrant,26.15667389
Arremon_assimilis,22.91472551,No-migrant,24.80654132
Arremon_aurantiirostris,26.8303396,No-migrant,57.21693397
Arremon_brunneinucha,23.35812286,No-migrant,51.21830734
Arremon_costaricensis,24.98065176,No-migrant,0.306321489
Arremon_crassirostris,21.29820574,No-migrant,0.781738436
Arremon_phaeopleurus,19.34838067,No-migrant,0.850758152
Arremon_schlegeli,27.79959895,No-migrant,15.4906375
Arremon_taciturnus,24.99662618,No-migrant,555.7491732
Arremon_torquatus,23.41482296,No-migrant,9.687325165
Arremon_virenticeps,21.71561677,No-migrant,6.867988511
Arremonops_chloronotus,20.24236874,No-migrant,19.96297885
Arremonops_conirostris,26.40297646,No-migrant,92.90570402
Arremonops_rufivirgatus,27.97521337,No-migrant,48.45946356
Arremonops_tocuyensis,19.75265003,No-migrant,6.022265348
Artemisiospiza_belli,32.73299834,Migrant,22.28533424
Artemisiospiza_nevadensis,37.41581294,Migrant,169.8045209
Atlapetes_albinucha,26.02698133,No-migrant,22.88948239
Atlapetes_albofrenatus,27.61250849,No-migrant,2.537939707
Atlapetes_melanocephalus,25.12112759,No-migrant,0.333368195
Atlapetes_pallidinucha,21.98349847,No-migrant,7.984896704
Atlapetes_pileatus,29.12082043,No-migrant,30.34819228
Atlapetes_rufinucha,22.86831317,No-migrant,3.303132962
Atlapetes_schistaceus,20.53353254,No-migrant,11.73583097
Atlapetes_semirufus,21.36733139,No-migrant,5.575964199
Basileuterus_belli,28.00104695,No-migrant,28.628052
Basileuterus_culicivorus,36.78336496,No-migrant,44.50388647
Basileuterus_lachrymosus,34.48306935,No-migrant,29.43409396
Basileuterus_melanogenys,30.33008119,No-migrant,0.397674937
Basileuterus_rufifrons,24.63296686,No-migrant,82.94360499
Basileuterus_tristriatus,30.29394994,No-migrant,39.0986842
Buthraupis_montana,33.57109923,No-migrant,24.59085452
Cacicus_cela,44.06039914,No-migrant,703.5741119
Cacicus_chrysopterus,30.84001299,No-migrant,147.5860371
Cacicus_haemorrhous,40.78118185,No-migrant,668.9419379
Cacicus_solitarius,27.85374077,No-migrant,737.1800541
Cacicus_uropygialis,40.58336905,No-migrant,11.26493901
Calamospiza_melanocorys,40.71267222,Migrant,328.2597938
Calcarius_lapponicus,47.87575226,Migrant,3347.677593
Calcarius_ornatus,40.01013754,Migrant,232.7849014
Calcarius_pictus,52.57500393,Migrant,224.0373902
Cardellina_canadensis,39.51669624,Migrant,520.2013531
Cardellina_pusilla,37.8295589,Migrant,1300.998595
Cardellina_rubra,27.91287603,No-migrant,20.09842214
Cardellina_rubrifrons,37.50858753,Migrant,58.35023771
Cardinalis_cardinalis,28.23227597,No-migrant,581.3119341
Cardinalis_phoeniceus,21.09888675,No-migrant,5.763656617
Caryothraustes_canadensis,37.49717784,No-migrant,216.6956955
Caryothraustes_poliogaster,29.6902229,No-migrant,26.74586888
Cassiculus_melanicterus,38.61794369,No-migrant,20.03522731
Catamenia_analis,34.18624426,No-migrant,91.46410209
Catamenia_homochroa,26.9092367,No-migrant,23.33538583
Catamenia_inornata,31.64270384,No-migrant,68.70835824
Certhidea_fusca,31.46369627,No-migrant,0.084454281
Certhidea_olivacea,27.81617041,No-migrant,0.568541201
Chlorochrysa_calliparaea,37.58710282,No-migrant,12.04357415
Chlorochrysa_nitidissima,34.71673733,No-migrant,1.417667686
Chlorospingus_canigularis,31.37288784,No-migrant,13.52162989
Chlorospingus_flavopectus,28.28827155,No-migrant,49.06341824
Chlorospingus_pileatus,37.10496136,No-migrant,0.324480912
Chlorospingus_semifuscus,28.3413351,No-migrant,2.127913134
Chondestes_grammacus,43.73402436,Migrant,680.476389
Chrysomus_icterocephalus,26.97236141,No-migrant,129.3690043
Chrysomus_ruficapillus,38.32575187,No-migrant,506.244432
Cnemathraupis_eximia,28.43410388,No-migrant,4.890542961
Curaeus_curaeus,37.25758913,Migrant,119.1898051
Cyanicterus_cyanicterus,39.44040715,No-migrant,34.43553733
Cyanocompsa_parellina,35.21702746,No-migrant,49.54814129
Cyanoloxia_brissonii,34.1707288,No-migrant,508.7493067
Cyanoloxia_cyanoides,34.36369563,No-migrant,72.90169756
Cyanoloxia_rothschildii,28.51176556,No-migrant,539.9675424
Dacnis_cayana,35.07191257,No-migrant,999.3569298
Dacnis_flaviventer,32.61209608,No-migrant,337.3794234
Dacnis_lineata,37.37518471,No-migrant,494.998184
Dacnis_venusta,39.42695663,No-migrant,16.62620756
Diglossa_albilatera,23.16587201,No-migrant,20.78349024
Diglossa_caerulescens,29.01938997,No-migrant,23.08877835
Diglossa_carbonaria,28.31884577,No-migrant,5.964222912
Diglossa_cyanea,32.28460707,No-migrant,32.20804415
Diglossa_gloriosa,29.68388825,No-migrant,0.938954136
Diglossa_humeralis,33.10364804,No-migrant,12.66901876
Diglossa_lafresnayii,29.44353421,No-migrant,8.939755056
Diglossa_plumbea,29.06215316,No-migrant,0.735030351
Diglossa_sittoides,37.28513884,No-migrant,49.42752031
Diuca_diuca,36.90242425,Migrant,256.4966945
Dolichonyx_oryzivorus,48.60967715,Migrant,528.9496644
Emberiza_cabanisi,33.23145188,No-migrant,236.0323844
Emberiza_cia,42.81210261,Migrant,603.2221172
Emberiza_cioides,40.94627345,No-migrant,1177.072586
Emberiza_cirlus,43.95038572,Migrant,239.617476
Emberiza_citrinella,43.68255232,Migrant,2260.114574
Emberiza_flaviventris,38.24781745,No-migrant,592.0819009
Emberiza_hortulana,48.00983036,Migrant,1394.863774
Emberiza_melanocephala,51.52277479,Migrant,272.405355
Emberiza_poliopleura,36.3794544,No-migrant,102.0505384
Emberiza_rutila,47.13975454,Migrant,746.8015348
Emberiza_spodocephala,36.23156582,Migrant,842.243424
Emberiza_striolata,32.60513498,No-migrant,236.1023398
Emberiza_sulphurata,41.70387632,Migrant,30.2131223
Emberizoides_herbicola,28.76383008,No-migrant,474.9887889
Embernagra_platensis,25.26448766,No-migrant,255.7560906
Eucometis_penicillata,31.66552723,No-migrant,473.7604579
Euphagus_carolinus,40.87784483,Migrant,1365.638505
Euphagus_cyanocephalus,43.60399505,Migrant,1001.406082
Geospiza_difficilis,35.41195135,No-migrant,0.199207966
Geospiza_fortis,32.77660368,No-migrant,0.625583224
Geospiza_fuliginosa,33.44766428,No-migrant,0.674510305
Geospiza_magnirostris,33.70815671,No-migrant,0.664068875
Geospiza_scandens,29.65044859,No-migrant,0.577719564
Geospizopsis_unicolor,32.5821256,No-migrant,124.2270349
Geothlypis_aequinoctialis,30.96137719,No-migrant,635.9375175
Geothlypis_beldingi,27.37748519,No-migrant,0.344794075
Geothlypis_formosa,44.11561939,Migrant,293.7236048
Geothlypis_philadelphia,36.42861113,Migrant,408.5815157
Geothlypis_poliocephala,40.26952276,No-migrant,73.02148118
Geothlypis_rostrata,22.84689959,No-migrant,0.784257946
Geothlypis_semiflava,42.0484837,No-migrant,9.402451746
Geothlypis_speciosa,27.26904891,No-migrant,0.054532726
Geothlypis_tolmiei,36.19303591,Migrant,396.0326681
Geothlypis_trichas,34.53433422,Migrant,1664.190868
Gnorimopsar_chopi,38.77420054,No-migrant,511.2902367
Granatellus_pelzelni,38.41200637,No-migrant,283.5979804
Granatellus_sallaei,34.72093888,No-migrant,26.96247299
Gymnomystax_mexicanus,30.2860573,No-migrant,127.6286409
Habia_fuscicauda,37.76466913,No-migrant,49.34647997
Habia_gutturalis,31.41005544,No-migrant,7.785766188
Habia_rubica,34.07005139,No-migrant,475.987725
Haplospiza_unicolor,33.83741686,No-migrant,87.19841362
Helmitheros_vermivorum,44.05459925,Migrant,253.0006411
Icteria_virens,38.0565287,Migrant,722.6443301
Icterus_abeillei,40.34350751,Migrant,34.36268131
Icterus_auratus,31.89477369,No-migrant,9.979945442
Icterus_cayanensis,39.0412688,No-migrant,336.5119929
Icterus_chrysater,31.03879908,No-migrant,64.54250752
Icterus_croconotus,30.66583304,No-migrant,285.7777138
Icterus_cucullatus,38.60931929,Migrant,137.4591513
Icterus_dominicensis,39.46321456,No-migrant,6.443652678
Icterus_galbula,41.29489501,Migrant,735.9657173
Icterus_graduacauda,31.7767859,No-migrant,30.65760337
Icterus_gularis,33.53751014,No-migrant,48.1721032
Icterus_icterus,31.27887855,No-migrant,36.43888567
Icterus_melanopsis,39.22532887,No-migrant,9.569616114
Icterus_mesomelas,28.18928851,No-migrant,83.04647565
Icterus_nigrogularis,27.45159683,No-migrant,112.0404463
Icterus_northropi,33.99270328,No-migrant,0.469429262
Icterus_parisorum,42.59851511,Migrant,171.9597202
Icterus_pectoralis,31.38337824,No-migrant,17.39096307
Icterus_portoricensis,35.07341903,No-migrant,0.749519594
Icterus_prosthemelas,36.90235635,No-migrant,37.34825133
Icterus_pustulatus,31.3924462,No-migrant,47.88953125
Icterus_pyrrhopterus,30.53657205,No-migrant,568.6783208
Icterus_spurius,38.70570302,Migrant,605.8824804
Icterus_wagleri,37.23070943,Migrant,66.71899927
Junco_bairdi,32.20372165,No-migrant,0.424210954
Junco_hyemalis,39.51656501,Migrant,2026.421033
Junco_insularis,33.24364412,No-migrant,0.02322408
Junco_phaeonotus,35.9610974,No-migrant,46.99384805
Junco_vulcani,27.62218924,No-migrant,0.085244846
Lampropsar_tanagrinus,29.30208533,No-migrant,198.3649578
Lamprospiza_melanoleuca,40.95626943,No-migrant,277.2172854
Lanio_aurantius,30.24103403,No-migrant,21.10137061
Lanio_fulvus,34.28048729,No-migrant,186.0037838
Lanio_leucothorax,27.24958913,No-migrant,7.669085016
Lanio_versicolor,40.40842031,No-migrant,232.4232591
Leistes_bellicosus,38.74669959,No-migrant,29.0574181
Leistes_loyca,38.25359514,Migrant,189.0879582
Leistes_militaris,33.35461762,No-migrant,301.4384336
Leistes_superciliaris,37.68500546,Migrant,579.3919536
Limnothlypis_swainsonii,40.9249581,Migrant,133.5517565
Lophospingus_griseocristatus,28.26932177,No-migrant,7.298840493
Loxigilla_noctis,31.43294822,No-migrant,0.519602304
Macroagelaius_subalaris,36.29465906,No-migrant,3.286225308
Melospiza_georgiana,30.83011895,Migrant,1124.342571
Melospiza_lincolnii,40.27050517,Migrant,1379.170475
Melospiza_melodia,34.95213383,Migrant,1517.631879
Melozone_aberti,26.2719272,No-migrant,16.58525514
Melozone_albicollis,26.86287074,No-migrant,5.491532642
Melozone_biarcuata,20.25071001,No-migrant,7.221162865
Melozone_cabanisi,24.08692991,No-migrant,0.103635887
Melozone_crissalis,25.72265772,No-migrant,32.64399893
Melozone_fusca,26.06199218,No-migrant,156.2415832
Melozone_kieneri,22.79485986,No-migrant,28.54468546
Microspingus_melanoleucus,30.91925176,No-migrant,133.660575
Microspingus_torquatus,26.19659088,No-migrant,10.34799495
Mitrospingus_cassinii,25.89374416,No-migrant,13.70446058
Mniotilta_varia,44.31378785,Migrant,934.304161
Molothrus_aeneus,38.36705351,No-migrant,223.6650307
Molothrus_ater,51.01120527,Migrant,1371.786533
Molothrus_bonariensis,44.26144646,No-migrant,1135.244616
Molothrus_rufoaxillaris,39.58694517,No-migrant,425.9788399
Myioborus_brunniceps,28.24124664,No-migrant,9.986686709
Myioborus_flavivertex,28.08281972,No-migrant,0.436256421
Myioborus_melanocephalus,29.12453559,No-migrant,15.33205917
Myioborus_miniatus,30.78072633,No-migrant,105.6331232
Myioborus_ornatus,29.09643053,No-migrant,3.235728463
Myioborus_pictus,34.63102915,No-migrant,101.5488647
Myioborus_torquatus,30.98338638,No-migrant,0.43316104
Myiothlypis_basilica,29.17240616,No-migrant,0.071725946
Myiothlypis_bivittata,23.20433159,No-migrant,9.854429116
Myiothlypis_cinereicollis,29.4608523,No-migrant,2.972988595
Myiothlypis_conspicillata,31.61089814,No-migrant,0.577453125
Myiothlypis_coronata,25.71813262,No-migrant,34.32919376
Myiothlypis_flaveola,27.09701266,No-migrant,343.949552
Myiothlypis_fulvicauda,32.7533529,No-migrant,202.4481849
Myiothlypis_leucoblephara,28.38019933,No-migrant,143.5589373
Myiothlypis_rivularis,34.04132013,No-migrant,74.16845094
Myiothlypis_signata,19.98690114,No-migrant,13.80108715
Oporornis_agilis,47.00091654,Migrant,479.862206
Oreothlypis_gutturalis,37.16086474,No-migrant,0.322206086
Oreothlypis_superciliosa,38.45930539,No-migrant,34.82775627
Oriturus_superciliosus,30.3326506,No-migrant,26.01354757
Parkesia_motacilla,40.79963026,Migrant,392.7879635
Parkesia_noveboracensis,38.24562964,Migrant,1374.79202
Passerculus_sandwichensis,41.01971352,Migrant,2331.852237
Passerella_iliaca,29.02715357,Migrant,1109.206778
Passerina_amoena,40.61859995,Migrant,342.7472378
Passerina_ciris,38.35483187,Migrant,238.0890765
Passerina_cyanea,45.68573783,Migrant,717.2141274
Passerina_versicolor,32.87003968,Migrant,137.7115089
Peucaea_aestivalis,25.98494359,No-migrant,73.22100984
Peucaea_botterii,26.86465336,No-migrant,87.483394
Peucaea_carpalis,28.91321401,No-migrant,16.32638062
Peucaea_cassinii,30.82681437,Migrant,216.2661221
Peucaea_ruficauda,24.93577655,No-migrant,22.44535592
Pezopetes_capitalis,19.80406137,No-migrant,0.280083835
Phaenicophilus_palmarum,26.46514616,No-migrant,5.742344668
Pheucticus_aureoventris,42.37184721,Migrant,164.7385331
Pheucticus_chrysogaster,33.93877682,No-migrant,44.32667197
Pheucticus_ludovicianus,46.41319338,Migrant,661.0029754
Pheucticus_melanocephalus,45.42411098,Migrant,504.1989574
Pheucticus_tibialis,42.66019141,No-migrant,1.614641616
Phrygilus_atriceps,32.65446181,No-migrant,45.90636542
Phrygilus_gayi,36.69072676,Migrant,175.5728379
Phrygilus_patagonicus,34.40502557,Migrant,65.8103799
Pinaroloxias_inornata,28.70745213,No-migrant,0.002020635
Pipilo_chlorurus,29.19226247,Migrant,386.3700959
Pipilo_erythrophthalmus,29.17257381,Migrant,360.5566241
Pipilo_ocai,22.15602084,No-migrant,9.778162011
Pipraeidea_bonariensis,38.17340316,Migrant,308.9220623
Pipraeidea_melanonota,42.60740816,No-migrant,183.6544312
Piranga_bidentata,40.58677046,No-migrant,36.39080937
Piranga_flava,38.64090461,No-migrant,505.0101829
Piranga_leucoptera,36.74673609,No-migrant,47.23869961
Piranga_ludoviciana,45.2591572,Migrant,538.3959227
Piranga_olivacea,45.98517411,Migrant,465.9207465
Piranga_roseogularis,31.44553636,No-migrant,9.064949047
Piranga_rubra,45.32490787,Migrant,728.08471
Plectrophenax_nivalis,52.57500393,Migrant,3994.486215
Pooecetes_gramineus,40.52926864,Migrant,1072.167096
Poospiza_nigrorufa,26.12876557,Migrant,89.59121468
Poospiza_whitii,29.19169719,No-migrant,26.94372331
Protonotaria_citrea,40.60227763,Migrant,336.2714343
Psarocolius_angustifrons,43.29964684,No-migrant,182.1571814
Psarocolius_atrovirens,41.55173114,No-migrant,11.68192259
Psarocolius_decumanus,47.71226959,No-migrant,869.1793603
Psarocolius_montezuma,49.06196912,No-migrant,42.15489291
Psarocolius_viridis,48.75018011,No-migrant,411.6890316
Psarocolius_wagleri,41.4192377,No-migrant,40.01576538
Pselliophorus_tibialis,25.42501512,No-migrant,0.540221022
Pseudoleistes_virescens,36.61854981,No-migrant,87.82445826
Ptiloxena_atroviolacea,34.17019187,No-migrant,9.302275558
Quiscalus_lugubris,35.91433335,No-migrant,75.27227316
Quiscalus_major,44.67537894,Migrant,19.61318964
Quiscalus_mexicanus,43.75732083,No-migrant,481.8775033
Quiscalus_niger,31.36609334,No-migrant,17.91176953
Quiscalus_quiscula,40.50741273,Migrant,969.2311255
Rhodinocichla_rosea,23.22503882,No-migrant,13.70051521
Rhynchophanes_mccownii,47.94321289,Migrant,158.9574759
Saltator_albicollis,29.88717805,No-migrant,0.335904487
Saltator_atriceps,29.12180288,No-migrant,60.2810103
Saltator_atripennis,31.83162235,No-migrant,8.982249099
Saltator_aurantiirostris,32.59541711,No-migrant,227.434863
Saltator_coerulescens,28.25851402,No-migrant,687.5699292
Saltator_grossus,32.17106379,No-migrant,510.1245608
Saltator_maximus,31.56701077,No-migrant,785.1110006
Saltator_orenocensis,31.93687065,No-migrant,33.77977962
Saltator_similis,31.24299975,No-migrant,329.3719712
Saltator_striatipectus,27.1042787,No-migrant,72.93593407
Seiurus_aurocapilla,40.72392542,Migrant,772.5606335
Setophaga_adelaidae,30.91222618,No-migrant,0.762211974
Setophaga_americana,40.44881976,Migrant,407.728684
Setophaga_caerulescens,39.73872701,Migrant,164.2945656
Setophaga_castanea,45.8093781,Migrant,408.5117672
Setophaga_cerulea,51.343793,Migrant,284.4869353
Setophaga_chrysoparia,42.71127691,Migrant,13.59225425
Setophaga_citrina,36.30792261,Migrant,265.0855856
Setophaga_coronata,44.5590997,Migrant,1657.790582
Setophaga_discolor,35.86975569,Migrant,177.5945443
Setophaga_dominica,43.65297904,Migrant,249.0582475
Setophaga_flavescens,38.43725796,No-migrant,0.234292881
Setophaga_fusca,51.08959423,Migrant,396.5542601
Setophaga_graciae,42.07820838,No-migrant,104.5063625
Setophaga_kirtlandii,42.79133964,Migrant,5.564961794
Setophaga_magnolia,31.51406543,Migrant,577.0821297
Setophaga_nigrescens,41.5309023,Migrant,245.652691
Setophaga_occidentalis,40.41041029,Migrant,87.35799347
Setophaga_palmarum,36.32002753,Migrant,532.4199964
Setophaga_pensylvanica,46.60765036,Migrant,394.6812166
Setophaga_petechia,39.08259039,Migrant,2262.877312
Setophaga_pinus,42.86298934,Migrant,234.8766665
Setophaga_pitiayumi,35.59834049,No-migrant,715.4157952
Setophaga_pityophila,41.16659896,No-migrant,0.657352054
Setophaga_ruticilla,42.06211537,Migrant,1118.881059
Setophaga_striata,45.23019273,Migrant,1332.376701
Setophaga_tigrina,44.09391281,Migrant,392.2244108
Setophaga_townsendi,43.09770166,Migrant,278.8470191
Setophaga_virens,43.10224066,Migrant,537.5523977
Sicalis_citrina,33.09218559,No-migrant,128.8302128
Sicalis_columbiana,31.68710766,No-migrant,152.1542954
Sicalis_flaveola,31.03003466,No-migrant,705.712217
Sicalis_lutea,36.99844382,No-migrant,28.58169536
Sicalis_luteocephala,35.20243759,No-migrant,6.804324503
Sicalis_luteola,43.05830735,Migrant,591.1528955
Spindalis_nigricephala,36.36622544,No-migrant,0.941118507
Spindalis_portoricensis,35.08176539,No-migrant,0.749520228
Spindalis_zena,34.19521263,No-migrant,11.06557066
Spiza_americana,45.30760599,Migrant,492.9368137
Spizella_atrogularis,31.19620064,Migrant,126.5243093
Spizella_breweri,35.03453068,Migrant,500.0832699
Spizella_pallida,34.75979485,Migrant,526.4892037
Spizella_passerina,42.4228562,Migrant,1674.87771
Spizella_pusilla,32.77937976,Migrant,488.7803433
Sporophila_americana,32.40949356,No-migrant,121.5969086
Sporophila_angolensis,33.32065535,No-migrant,987.0438489
Sporophila_caerulescens,34.73442541,Migrant,696.4794391
Sporophila_castaneiventris,39.18349506,No-migrant,285.2035924
Sporophila_corvina,34.74305528,No-migrant,20.38648723
Sporophila_crassirostris,37.7631482,No-migrant,206.5154427
Sporophila_funerea,23.77323156,No-migrant,60.55603796
Sporophila_hypochroma,36.45831165,Migrant,139.23661
Sporophila_intermedia,31.77330538,No-migrant,112.3272962
Sporophila_lineola,35.73128958,Migrant,1001.462355
Sporophila_luctuosa,34.77407469,Migrant,92.59092559
Sporophila_maximiliani,40.42714084,No-migrant,145.8791163
Sporophila_minuta,34.74684511,No-migrant,183.6285641
Sporophila_morelleti,32.38973174,No-migrant,72.8459294
Sporophila_nigricollis,33.77405002,No-migrant,597.9000009
Sporophila_plumbea,34.41283525,No-migrant,399.4143355
Sporophila_schistacea,37.26999351,No-migrant,128.1763331
Sporophila_torqueola,31.62539421,No-migrant,29.88346379
Stephanophorus_diadematus,31.94671848,No-migrant,100.6948217
Sturnella_magna,39.84701911,No-migrant,680.6432512
Sturnella_neglecta,37.71501618,Migrant,926.9576089
Tachyphonus_coronatus,29.33465773,No-migrant,131.4492982
Tachyphonus_rufus,25.30895738,No-migrant,496.5920024
Tangara_argyrofenges,42.4673339,No-migrant,4.329356476
Tangara_arthus,36.40880841,No-migrant,3.206566053
Tangara_cayana,37.83831865,No-migrant,119.9591423
Tangara_chilensis,49.69354923,No-migrant,376.4668409
Tangara_cyanocephala,37.98220421,No-migrant,39.52337577
Tangara_cyanoptera,38.157277,No-migrant,19.83773412
Tangara_dowii,34.48280145,No-migrant,0.994983092
Tangara_florida,39.23661164,No-migrant,3.031104412
Tangara_gyrola,33.4245614,No-migrant,342.555421
Tangara_heinei,38.17280368,No-migrant,10.93442332
Tangara_icterocephala,34.84635801,No-migrant,6.150736611
Tangara_inornata,38.64346102,No-migrant,14.79462871
Tangara_johannae,36.92083063,No-migrant,5.64021186
Tangara_labradorides,35.173454,No-migrant,8.515087382
Tangara_larvata,39.04199424,No-migrant,39.89686702
Tangara_lavinia,33.39741971,No-migrant,11.15587182
Tangara_mexicana,39.5900494,No-migrant,577.0838638
Tangara_nigroviridis,37.41354853,No-migrant,28.72915526
Tangara_rufigenis,34.87714035,No-migrant,0.564391803
Tangara_schrankii,38.88930745,No-migrant,225.0873787
Tangara_velia,37.36961045,No-migrant,402.0992433
Tangara_vitriolina,34.773647,No-migrant,10.10134005
Tangara_xanthocephala,37.14896135,No-migrant,29.41290684
Teretistris_fernandinae,26.47392265,No-migrant,2.254467947
Tiaris_olivaceus,31.49324297,No-migrant,81.86300493
Trichothraupis_melanops,32.82001524,No-migrant,215.0191938
Vermivora_bachmanii,44.28042916,Migrant,88.33522268
Vermivora_chrysoptera,40.62383685,Migrant,182.9350276
Vermivora_cyanoptera,37.90505831,Migrant,221.259841
Volatinia_jacarina,29.68583797,No-migrant,1279.533377
Xanthocephalus_xanthocephalus,42.8873806,Migrant,710.1412556
Zeledonia_coronata,20.95641868,No-migrant,0.425567409
Zonotrichia_albicollis,32.31527094,Migrant,1158.771096
Zonotrichia_atricapilla,35.78614257,Migrant,352.2275218
Zonotrichia_capensis,28.67244758,No-migrant,1128.626201
Zonotrichia_leucophrys,38.58885596,Migrant,1744.123137
Zonotrichia_querula,37.74385632,Migrant,436.3968529